Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	54597	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 1	 1	 59.4967803955078	 128.745147705078	-1	 1922.32177734375	 4	 0
 1	 2	 59.3077735900879	 128.998962402344	-1	 1498.21069335938	 17	 0
 1	 3	 59.7602462768555	 128.588577270508	-1	 1256.3466796875	 42	 0
 1	 4	 58.6304244995117	 128.501266479492	-1	 1153.4404296875	 52	 0
 1	 5	 59.9055099487305	 128.503021240234	-1	 1350.19348144531	 73	 0
 1	 6	 60.1042327880859	 128.288619995117	-1	 1153.01098632813	 86	 0
 1	 7	 59.9020614624023	 127.432861328125	-1	 1555.95971679688	 102	 0
 1	 8	 59.7146987915039	 127.70142364502	-1	 1504.88757324219	 110	 0
 1	 9	 59.7212677001953	 127.649627685547	-1	 1035.14599609375	 128	 0
 1	 10	 59.7780723571777	 127.552459716797	-1	 1783.74194335938	 138	 0
 1	 11	 60.0341529846191	 128.060729980469	-1	 861.582397460938	 145	 0
 1	 12	 61.0034370422363	 128.352783203125	-1	 1134.40576171875	 161	 0
 1	 13	 61.0553359985352	 128.082901000977	-1	 1162.83447265625	 186	 0
 1	 14	 60.3481483459473	 128.435546875	-1	 780.427062988281	 199	 0
 1	 15	 60.0337257385254	 128.573608398438	-1	 652.392211914063	 206	 0
 1	 16	 60.0662956237793	 128.549133300781	-1	 818.768615722656	 240	 0
 2	 1	 76.5036849975586	 102.904014587402	-1	 1727.02600097656	 7	 0
 2	 2	 75.8044891357422	 103.980728149414	-1	 2768.1630859375	 26	 0
 2	 3	 75.6845397949219	 103.909942626953	-1	 1932.54479980469	 37	 0
 2	 4	 76.987419128418	 103.3134765625	-1	 3127.5546875	 50	 0
 2	 5	 76.6179275512695	 103.192611694336	-1	 1298.48095703125	 69	 0
 2	 6	 76.4418258666992	 103.40852355957	-1	 3091.0625	 81	 0
 2	 7	 75.7599945068359	 103.642486572266	-1	 2012.32983398438	 96	 0
 2	 8	 76.8083953857422	 103.149948120117	-1	 1832.96899414063	 108	 0
 2	 9	 75.1367950439453	 103.747589111328	-1	 1180.0595703125	 123	 0
 2	 10	 76.363410949707	 103.407424926758	-1	 921.933776855469	 141	 0
 2	 11	 75.3161544799805	 104.41926574707	-1	 2546.96923828125	 150	 0
 2	 12	 75.0717163085938	 104.749977111816	-1	 2030.61779785156	 158	 0
 2	 13	 76.5630264282227	 103.48046875	-1	 2329.68896484375	 187	 0
 2	 14	 76.5724792480469	 103.273742675781	-1	 1806.45458984375	 192	 0
 2	 15	 76.4966430664063	 102.939163208008	-1	 1103.23266601563	 215	 0
 2	 16	 75.7304611206055	 103.16414642334	-1	 1541.8359375	 222	 0
 2	 17	 75.58203125	 103.74097442627	-1	 1339.88818359375	 244	 0
 2	 18	 75.9543151855469	 103.749053955078	-1	 1322.00805664063	 260	 0
 2	 19	 76.2371139526367	 103.089996337891	-1	 637.684875488281	 272	 0
 2	 20	 76.1437149047852	 103.187072753906	-1	 1356.04333496094	 286	 0
 2	 21	 75.180305480957	 104.374771118164	-1	 455.773559570313	 303	 0
 2	 22	 74.8407669067383	 104.162887573242	-1	 873.05126953125	 308	 0
 2	 23	 75.1851425170898	 104.415832519531	-1	 1174.1904296875	 325	 0
