Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	84651	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 1	 1	 22.4680995941162	 185.422729492188	-1	 1982.740234375	 13	 0
 1	 2	 22.0687007904053	 185.517929077148	-1	 1958.07592773438	 27	 0
 1	 3	 22.4880332946777	 184.989212036133	-1	 1684.31115722656	 36	 0
 1	 4	 22.1276969909668	 185.051528930664	-1	 1671.41918945313	 54	 0
 1	 5	 22.209192276001	 185.401336669922	-1	 1728.19799804688	 76	 0
 1	 6	 22.1756896972656	 185.177368164063	-1	 1756.47473144531	 90	 0
 1	 7	 22.1422481536865	 185.101608276367	-1	 2003.736328125	 118	 0
 1	 8	 22.2488040924072	 185.126480102539	-1	 1671.4296875	 133	 0
 1	 9	 22.2982406616211	 185.189926147461	-1	 1835.16333007813	 151	 0
 1	 10	 22.3413505554199	 185.056930541992	-1	 1530.04895019531	 172	 0
 1	 11	 22.1796646118164	 185.456985473633	-1	 1582.59606933594	 193	 0
 1	 12	 22.2542495727539	 184.908264160156	-1	 2530.75415039063	 209	 0
 1	 13	 22.1887435913086	 184.693618774414	-1	 1770.79650878906	 231	 0
 1	 14	 22.1538391113281	 184.736190795898	-1	 1507.4306640625	 243	 0
 1	 15	 22.3910427093506	 185.752227783203	-1	 983.873229980469	 266	 0
 1	 16	 22.2183322906494	 185.340591430664	-1	 1775.34484863281	 270	 0
 1	 17	 22.1652526855469	 185.110565185547	-1	 1400.02478027344	 295	 0
 1	 18	 22.481372833252	 184.865158081055	-1	 1142.65576171875	 308	 0
 1	 19	 22.39573097229	 185.030532836914	-1	 1316.3974609375	 319	 0
 1	 20	 21.9604320526123	 185.165237426758	-1	 1351.02404785156	 326	 0
 1	 21	 22.4090309143066	 185.445983886719	-1	 2160.28588867188	 348	 0
 1	 22	 22.2512435913086	 185.322647094727	-1	 2058.7822265625	 361	 0
 1	 23	 22.3229942321777	 185.151412963867	-1	 1408.34057617188	 379	 0
 1	 24	 22.3111915588379	 185.498107910156	-1	 1534.72045898438	 402	 0
 1	 25	 22.1721973419189	 185.791931152344	-1	 1117.74353027344	 418	 0
 1	 26	 22.1023960113525	 185.314163208008	-1	 1596.79638671875	 443	 0
 1	 27	 22.5988693237305	 185.180908203125	-1	 1119.47143554688	 455	 0
 1	 28	 22.4896659851074	 185.581451416016	-1	 2395.9541015625	 491	 0
 1	 29	 22.3873691558838	 185.551864624023	-1	 2478.13208007813	 508	 0
 1	 30	 22.2038345336914	 185.647247314453	-1	 2216.29028320313	 520	 0
 1	 31	 22.2388572692871	 185.146759033203	-1	 2752.74951171875	 534	 0
 1	 32	 22.3932285308838	 185.46647644043	-1	 2120.8203125	 554	 0
 1	 33	 22.2083759307861	 185.224273681641	-1	 2004.50341796875	 597	 0
 1	 34	 22.3437347412109	 184.293060302734	-1	 1049.64624023438	 607	 0
 1	 35	 22.3467674255371	 185.138168334961	-1	 954.398742675781	 638	 0
 1	 36	 21.862922668457	 184.478622436523	-1	 447.732238769531	 653	 0
 1	 37	 22.1663627624512	 184.600799560547	-1	 554.756469726563	 664	 0
 1	 38	 22.251594543457	 184.911270141602	-1	 824.42529296875	 683	 0
 1	 39	 21.8628368377686	 184.955429077148	-1	 1051.88732910156	 704	 0
 1	 40	 22.1828365325928	 185.133422851563	-1	 935.184875488281	 721	 0
 1	 41	 22.4481525421143	 184.778671264648	-1	 1317.73950195313	 729	 0
