Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	87144	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 1	 23	 39.4364166259766	 162.527618408203	-1	 1662.17065429688	 431	 0
 1	 24	 38.713924407959	 162.794647216797	-1	 1338.28002929688	 463	 0
 1	 25	 38.5997352600098	 161.7861328125	-1	 608.032775878906	 471	 0
 1	 26	 38.9651260375977	 162.560668945313	-1	 1308.2509765625	 511	 0
 1	 27	 38.6115837097168	 162.821212768555	-1	 1517.42236328125	 527	 0
 1	 28	 39.1246566772461	 162.814407348633	-1	 1731.99829101563	 547	 0
 1	 29	 39.0847244262695	 162.970367431641	-1	 1290.7822265625	 567	 0
 1	 30	 39.5959320068359	 162.462249755859	-1	 1248.19140625	 605	 0
 1	 31	 39.0432586669922	 162.620590209961	-1	 949.928588867188	 633	 0
 1	 32	 39.2314796447754	 162.923294067383	-1	 1493.57250976563	 659	 0
 1	 33	 39.2739028930664	 162.774948120117	-1	 1745.2041015625	 668	 0
 1	 34	 38.9543151855469	 162.285278320313	-1	 1390.89233398438	 707	 0
 1	 35	 39.1063804626465	 162.753280639648	-1	 1608.43286132813	 712	 0
 1	 36	 39.5795936584473	 162.566207885742	-1	 2669.79907226563	 755	 0
 1	 37	 39.6001205444336	 162.669021606445	-1	 1998.27661132813	 778	 0
 1	 38	 39.4588012695313	 162.643676757813	-1	 2058.92211914063	 789	 0
 1	 39	 39.2475280761719	 162.798248291016	-1	 2023.71362304688	 824	 0
 1	 40	 39.5434913635254	 162.719512939453	-1	 1807.50170898438	 845	 0
 1	 41	 39.6398429870605	 162.926467895508	-1	 2792.49584960938	 854	 0
 1	 42	 39.1338806152344	 162.742767333984	-1	 2575.61474609375	 874	 0
 1	 43	 38.9935722351074	 162.578765869141	-1	 1436.90600585938	 891	 0
 1	 44	 39.6022491455078	 162.953460693359	-1	 1393.44750976563	 931	 0
 1	 45	 39.7412223815918	 162.871887207031	-1	 1479.59875488281	 946	 0
 1	 46	 39.2662086486816	 162.607009887695	-1	 1028.15576171875	 952	 0
 1	 47	 39.1834411621094	 162.854675292969	-1	 1007.43872070313	 968	 0
 1	 48	 38.347583770752	 162.923370361328	-1	 735.980773925781	 991	 0
 1	 49	 38.9026756286621	 162.478897094727	-1	 1464.95727539063	 1024	 0
 1	 50	 38.9575653076172	 162.777313232422	-1	 1254.9833984375	 1041	 0
 1	 51	 39.1954536437988	 162.656387329102	-1	 1487.29443359375	 1058	 0
 1	 52	 38.7301826477051	 162.662963867188	-1	 1234.18041992188	 1088	 0
 1	 53	 38.5781555175781	 162.411010742188	-1	 775.868103027344	 1104	 0
 1	 54	 39.5392608642578	 162.866088867188	-1	 1588.12524414063	 1123	 0
 1	 55	 39.696216583252	 162.684997558594	-1	 1980.91674804688	 1156	 0
 1	 56	 39.0949440002441	 162.48779296875	-1	 2033.51245117188	 1169	 0
 1	 57	 39.2277641296387	 162.752258300781	-1	 1511.36889648438	 1197	 0
 1	 58	 38.9804077148438	 161.609420776367	-1	 1828.72045898438	 1210	 0
 1	 59	 39.9326934814453	 161.939987182617	-1	 1379.32141113281	 1239	 0
 1	 60	 39.1838607788086	 162.716522216797	-1	 1569.78247070313	 1252	 0
 1	 61	 38.7919960021973	 162.412155151367	-1	 1550.72607421875	 1265	 0
 1	 62	 39.0216903686523	 162.763641357422	-1	 1380.27465820313	 1294	 0
 1	 63	 38.4732322692871	 163.048355102539	-1	 926.58642578125	 1307	 0
 1	 64	 39.0592384338379	 162.319244384766	-1	 1197.87841796875	 1337	 0
 1	 65	 38.8970947265625	 161.790466308594	-1	 1083.27294921875	 1346	 0
 1	 66	 38.8141670227051	 162.966247558594	-1	 1102.66870117188	 1381	 0
 1	 67	 38.5707931518555	 162.920379638672	-1	 853.360656738281	 1413	 0
 1	 68	 38.6606712341309	 162.836685180664	-1	 1020.24682617188	 1435	 0
 1	 69	 38.8576354980469	 162.769180297852	-1	 518.123107910156	 1441	 0
 1	 70	 38.844482421875	 163.021575927734	-1	 555.996337890625	 1460	 0
 1	 71	 38.6185607910156	 162.787963867188	-1	 1042.33544921875	 1489	 0
 1	 72	 37.9347610473633	 163.681747436523	-1	 873.647766113281	 1500	 0
 1	 73	 38.8202476501465	 162.535522460938	-1	 946.804443359375	 1530	 0
 1	 74	 38.7852401733398	 162.710327148438	-1	 957.046691894531	 1547	 0
 1	 75	 38.8519401550293	 162.797866821289	-1	 675.965148925781	 1564	 0
 1	 76	 39.0170097351074	 162.682266235352	-1	 1089.30895996094	 1580	 0
 1	 77	 39.0238800048828	 162.818939208984	-1	 987.151062011719	 1608	 0
 1	 78	 39.1169586181641	 162.588241577148	-1	 1660.57983398438	 1636	 0
 1	 79	 38.9044456481934	 163.093414306641	-1	 1505.6796875	 1644	 0
 1	 80	 39.2749557495117	 162.644973754883	-1	 2028.93090820313	 1681	 0
 1	 81	 39.5893287658691	 162.709503173828	-1	 2064.27392578125	 1699	 0
 1	 82	 39.7920379638672	 162.409927368164	-1	 1976.33728027344	 1714	 0
 1	 83	 38.361701965332	 162.011932373047	-1	 2325.74951171875	 1735	 0
 1	 84	 39.0940437316895	 162.512542724609	-1	 2898.1826171875	 1756	 0
 1	 85	 39.540225982666	 162.520095825195	-1	 2083.59716796875	 1770	 0
 1	 86	 39.9158630371094	 162.378173828125	-1	 1356.68640136719	 1784	 0
 1	 87	 39.254581451416	 163.280609130859	-1	 1161.14428710938	 1797	 0
 1	 88	 39.8567543029785	 162.992477416992	-1	 1156.58618164063	 1806	 0
 1	 89	 39.0281677246094	 162.909683227539	-1	 1527.93408203125	 1824	 0
 1	 90	 38.948616027832	 162.475051879883	-1	 1084.86267089844	 1838	 0
 1	 91	 38.6791496276855	 163.08219909668	-1	 937.289916992188	 1855	 0
 1	 92	 38.3715133666992	 162.355178833008	-1	 1486.9150390625	 1866	 0
 1	 93	 39.2293930053711	 163.046966552734	-1	 1228.61389160156	 1882	 0
 1	 94	 38.8191375732422	 161.491729736328	-1	 1502.30749511719	 1900	 0
 1	 95	 38.9429244995117	 162.944610595703	-1	 1318.52514648438	 1917	 0
 1	 96	 38.855052947998	 162.799957275391	-1	 975.664978027344	 1925	 0
 1	 97	 38.7967414855957	 162.395431518555	-1	 1031.08959960938	 1945	 0
 1	 98	 39.2177505493164	 162.893402099609	-1	 1430.50915527344	 1964	 0
 1	 99	 38.8202133178711	 162.874374389648	-1	 1090.70556640625	 1978	 0
 1	 100	 38.8460464477539	 162.804382324219	-1	 1912.17065429688	 1994	 0
 1	 101	 39.6028060913086	 162.724502563477	-1	 1834.07409667969	 2017	 0
 1	 102	 38.376293182373	 163.113052368164	-1	 1013.55670166016	 2030	 0
 1	 103	 39.0309944152832	 161.871200561523	-1	 892.592041015625	 2049	 0
 1	 104	 38.6032562255859	 161.987380981445	-1	 830.247253417969	 2075	 0
 1	 105	 38.7753257751465	 161.839263916016	-1	 1080.32019042969	 2083	 0
 1	 106	 39.3508110046387	 162.794906616211	-1	 1745.01843261719	 2096	 0
 1	 107	 39.0260276794434	 162.898239135742	-1	 1852.50756835938	 2115	 0
 1	 108	 39.3199996948242	 162.733581542969	-1	 1099.08422851563	 2133	 0
