Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	58371	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 1	 1	 76.6260375976563	 103.995124816895	-1	 3013.25463867188	 2	 0
 1	 2	 76.6891021728516	 104.357650756836	-1	 2733.7373046875	 15	 0
 1	 3	 76.4244689941406	 104.179351806641	-1	 4028.28564453125	 40	 0
 1	 4	 76.5689315795898	 104.01619720459	-1	 2260.54736328125	 53	 0
 1	 5	 76.434700012207	 104.03719329834	-1	 2418.66381835938	 68	 0
 1	 6	 76.6828384399414	 103.755096435547	-1	 3225.86962890625	 77	 0
 1	 7	 76.4412536621094	 104.05379486084	-1	 2262.52880859375	 84	 0
 1	 8	 76.4273529052734	 103.847145080566	-1	 2250.45849609375	 95	 0
 1	 9	 76.6939926147461	 103.486480712891	-1	 1804.64770507813	 99	 0
 1	 10	 76.4712448120117	 104.228889465332	-1	 2003.42260742188	 109	 0
 1	 11	 76.0576324462891	 105.035430908203	-1	 3235.1787109375	 119	 0
 1	 12	 76.8149642944336	 103.869728088379	-1	 2865.9794921875	 133	 0
 1	 13	 76.5452346801758	 104.222679138184	-1	 3478.970703125	 141	 0
 1	 14	 76.4921188354492	 104.068115234375	-1	 4053.71923828125	 145	 0
 1	 15	 76.3463668823242	 104.462196350098	-1	 3784.9765625	 156	 0
 1	 16	 76.3121643066406	 104.510391235352	-1	 3669.02172851563	 161	 0
 1	 17	 76.5122909545898	 104.124237060547	-1	 3191.59057617188	 171	 0
 1	 18	 76.4207992553711	 104.332420349121	-1	 2738.04931640625	 180	 0
 1	 19	 76.4421844482422	 104.491523742676	-1	 3499.50146484375	 187	 0
 1	 20	 76.0277404785156	 104.255180358887	-1	 2083.138671875	 203	 0
 1	 21	 76.1812057495117	 104.616912841797	-1	 1218.96826171875	 212	 0
 1	 22	 76.1902618408203	 104.491630554199	-1	 2072.681640625	 218	 0
 1	 23	 76.0321884155273	 104.451934814453	-1	 2561.06591796875	 228	 0
