<xid>	<yid>	<x in nm>	<y in nm>	<Rg>	<Spring Const k>	<log10(k)>
7	168	1120.0	26880.0	782.4874808027652	0.0012779757178659084	-2.893477397896734
7	169	1120.0	27040.0	789.4710258554472	0.0012666709318640667	-2.897336195722397
7	192	1120.0	30720.0	566.4875049378527	0.001765264001912463	-2.753190335035448
7	193	1120.0	30880.0	1240.7562847898844	0.0008059600521542752	-3.0936864837022475
7	198	1120.0	31680.0	938.4294057077957	0.0010656102567947192	-2.972401607948633
7	199	1120.0	31840.0			
7	207	1120.0	33120.0			
7	208	1120.0	33280.0	1682.3503297570974	0.0005944065170685245	-3.225916437619987
7	209	1120.0	33440.0			
8	16	1280.0	2560.0			
8	17	1280.0	2720.0	933.9641305088106	0.0010707049310932466	-2.9703301971923755
8	18	1280.0	2880.0	781.9034212448321	0.0012789303292827987	-2.8931531134041992
8	19	1280.0	3040.0			
8	20	1280.0	3200.0			
8	26	1280.0	4160.0	409.9295968760177	0.00243944327909177	-2.612709275466794
8	27	1280.0	4320.0			
8	107	1280.0	17120.0	2550.5850602003197	0.0003920669087277808	-3.4066398115212504
8	109	1280.0	17440.0			
8	152	1280.0	24320.0	1994.2456385052417	0.0005014427414014734	-3.2997786509049507
8	153	1280.0	24480.0	60.488212747627465	0.01653214658816685	-1.7816707525465276
8	155	1280.0	24800.0			
8	162	1280.0	25920.0			
8	168	1280.0	26880.0	2228.10175186486	0.00044881253702306343	-3.3479350201033014
8	169	1280.0	27040.0	687.7001613725165	0.001454122095891607	-2.8373991262515545
8	192	1280.0	30720.0	905.9602113007912	0.0011038012348954984	-2.957109124396502
8	193	1280.0	30880.0	666.4703296242951	0.001500441888483953	-2.823780819965531
8	198	1280.0	31680.0	221.8127661849873	0.0045083067904487534	-2.345986537864288
8	207	1280.0	33120.0	872.9150647448307	0.0011455868278459813	-2.940971988600023
8	208	1280.0	33280.0	514.6498365844775	0.0019430687215147972	-2.711511839211396
8	209	1280.0	33440.0			
9	16	1440.0	2560.0	1977.347884720785	0.0005057279033836814	-3.296083083640064
9	17	1440.0	2720.0	1176.0199180001575	0.0008503257340237209	-3.070414677356025
